m,r,l,P,T,rho,epsilon,nabla,convective_status
1.5483038440395457e+33,22006047737.33102,1.0679736209270625e+34,1.8073832289149028e+16,8300680.4089188045,16.105016539403024,0.2948392956758378,[0.22675052],0
1.5489752680829277e+33,22012896115.269993,1.0679935097533831e+34,1.8050421367487188e+16,8298256.0107665565,16.088853558095288,0.29411887058651937,[0.22670413],0
1.5496466921263103e+33,22019747084.72444,1.0680133499074318e+34,1.802702965106213e+16,8295831.645610864,16.07269818925466,0.2933998839402759,[0.22665776],0
1.5503181161696923e+33,22026600650.24263,1.0680331414766813e+34,1.8003657123071706e+16,8293407.310852667,16.056550429807096,0.29268233300365926,[0.22661141],0
1.5509895402130748e+33,22033456816.383232,1.068052884548526e+34,1.7980303766759554e+16,8290983.003900917,16.040410276679832,0.2919662150510431,[0.22656507],0
1.5516609642564568e+33,22040315587.7153,1.0680725792102818e+34,1.795696956541527e+16,8288558.722172596,16.02427772680158,0.2912515273645968,[0.22651876],0
1.5523323882998394e+33,22047176968.818302,1.068092225549186e+34,1.7933654502374222e+16,8286134.463092697,16.00815277710252,0.2905382672342559,[0.22647247],0
1.5530038123432214e+33,22054040964.282078,1.0681118236523967e+34,1.7910358561017738e+16,8283710.224094244,15.992035424514526,0.28982643195769037,[0.22642619],0
1.553675236386604e+33,22060907578.706886,1.0681313736069948e+34,1.7887081724772932e+16,8281286.002618276,15.97592566597115,0.28911601884028054,[0.22637994],0
1.554346660429986e+33,22067776816.703354,1.0681508754999813e+34,1.7863823977112868e+16,8278861.796113859,15.959823498407856,0.288407025195088,[0.2263337],0
1.5550180844733685e+33,22074648682.892536,1.0681703294182794e+34,1.7840585301556392e+16,8276437.602038073,15.943728918761995,0.2876994483428202,[0.22628749],0
1.5556895085167505e+33,22081523181.905853,1.0681897354487334e+34,1.7817365681668314e+16,8274013.417856029,15.92764192397302,0.2869932856118126,[0.22624129],0
1.556360932560133e+33,22088400318.38514,1.0682090936781092e+34,1.7794165101059208e+16,8271589.24104085,15.91156251098249,0.28628853433798973,[0.22619512],0
1.5570323566035153e+33,22095280096.98261,1.0682284041930942e+34,1.777098354338561e+16,8269165.069073687,15.895490676734273,0.2855851918648474,[0.22614897],0
1.5577037806468976e+33,22102162522.36089,1.0682476670802966e+34,1.7747820992349872e+16,8266740.89944371,15.87942641817458,0.2848832555434153,[0.22610284],0
1.5583752046902798e+33,22109047599.192986,1.0682668824262468e+34,1.7724677431700232e+16,8264316.7296481095,15.863369732252092,0.2841827227322329,[0.22605673],0
1.559046628733662e+33,22115935332.162315,1.0682860503173966e+34,1.7701552845230784e+16,8261892.557192098,15.84732061591808,0.2834835907973245,[0.22601064],0
1.5597180527770444e+33,22122825725.962677,1.0683051708401186e+34,1.7678447216781504e+16,8259468.379588913,15.831279066126468,0.2827858571121623,[0.22596457],0
1.5603894768204267e+33,22129718785.298264,1.0683242440807072e+34,1.7655360530238236e+16,8257044.194359808,15.815245079834005,0.28208951905764845,[0.22591853],0
1.561060900863809e+33,22136614514.88368,1.0683432701253785e+34,1.7632292769532682e+16,8254619.99903406,15.7992186540003,0.28139457402208407,[0.22587251],0
1.5617323249071912e+33,22143512919.44391,1.0683622490602695e+34,1.760924391864242e+16,8252195.791148969,15.783199785587966,0.28070101940113573,[0.22582651],0
1.5624037489505735e+33,22150414003.714333,1.068381180971439e+34,1.7586213961590892e+16,8249771.568249854,15.76718847156272,0.28000885259781794,[0.22578053],0
1.5630751729939558e+33,22157317772.440735,1.0684000659448672e+34,1.7563202882447416e+16,8247347.327890058,15.751184708893485,0.2793180710224554,[0.22573457],0
1.563746597037338e+33,22164224230.379288,1.0684189040664555e+34,1.7540210665327172e+16,8244923.067630943,15.73518849455249,0.27862867209266473,[0.22568864],0
1.5644180210807203e+33,22171133382.296562,1.0684376954220271e+34,1.7517237294391214e+16,8242498.785041894,15.719199825515387,0.27794065323332123,[0.22564273],0
1.5650894451241026e+33,22178045232.969524,1.0684564400973262e+34,1.749428275384646e+16,8240074.477700316,15.703218698761347,0.2772540118765333,[0.22559685],0
1.5657608691674848e+33,22184959787.18553,1.0684751381780185e+34,1.7471347027945694e+16,8237650.1431916375,15.687245111273167,0.2765687454616155,[0.22555099],0
1.5664322932108674e+33,22191877049.742344,1.0684937897496919e+34,1.7448430100987564e+16,8235225.779109306,15.671279060037362,0.2758848514350605,[0.22550515],0
1.5671037172542494e+33,22198797025.448097,1.0685123948978544e+34,1.7425531957316628e+16,8232801.383054795,15.65532054204433,0.2752023272505153,[0.22545934],0
1.567775141297632e+33,22205719719.12136,1.0685309537079365e+34,1.740265258132324e+16,8230376.9526375905,15.639369554288356,0.27452117036874796,[0.22541355],0
1.568446565341014e+33,22212645135.59105,1.0685494662652896e+34,1.73797919574437e+16,8227952.485475212,15.62342609376782,0.2738413782576283,[0.22536778],0
1.5691179893843965e+33,22219573279.69652,1.068567932655187e+34,1.73569500701601e+16,8225527.979193188,15.60749015748522,0.27316294839209593,[0.22532204],0
1.5697894134277785e+33,22226504156.28749,1.0685863529628228e+34,1.7334126904000476e+16,8223103.431425081,15.59156174244735,0.27248587825413484,[0.22527632],0
1.570460837471161e+33,22233437770.2241,1.0686047272733128e+34,1.731132244353866e+16,8220678.839812461,15.575640845665328,0.2718101653327489,[0.22523063],0
1.571132261514543e+33,22240374126.37685,1.0686230556716947e+34,1.7288536673394424e+16,8218254.202004934,15.559727464154793,0.27113580712392954,[0.22518497],0
1.5718036855579256e+33,22247313229.62668,1.0686413382429268e+34,1.7265769578233338e+16,8215829.515660114,15.543821594935922,0.270462801130638,[0.22513933],0
